"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
"Big Bend Electric Coop, Inc",WA,Cooperative," 3,838 "," 4,555 "," 83,278 ",5.47
City of Blaine,WA,Publicly Owned," 2,013 "," 1,265 "," 19,836 ",6.38
City of Cashmere,WA,Publicly Owned, 950 , 570 ," 18,857 ",3.02
City of Centralia,WA,Publicly Owned," 7,608 "," 5,754 "," 109,539 ",5.25
City of Cheney,WA,Publicly Owned," 3,448 "," 2,508 "," 40,812 ",6.15
City of Chewelah,WA,Publicly Owned," 1,075 ", 637 ," 10,781 ",5.91
City of Coulee Dam,WA,Publicly Owned, 531 , 470 ," 10,887 ",4.32
City of Ellensburg,WA,Publicly Owned," 6,842 "," 3,727 "," 56,334 ",6.62
City of McCleary,WA,Publicly Owned, 898 , 805 ," 14,818 ",5.43
City of Milton,WA,Publicly Owned," 3,005 "," 2,347 "," 49,995 ",4.69
City of Richland,WA,Publicly Owned," 17,322 "," 15,763 "," 278,959 ",5.65
City of Sumas,WA,Publicly Owned, 446 , 253 ," 3,937 ",6.43
Clearwater Power Company,WA,Cooperative, 734 , 752 ," 8,303 ",9.06
"Columbia Rural Elec Assn, Inc",WA,Cooperative," 1,986 "," 2,062 "," 37,019 ",5.57
Elmhurst Mutual Power & Light Co,WA,Cooperative," 12,042 "," 9,168 "," 206,540 ",4.44
Inland Power & Light Company,WA,Cooperative," 29,130 "," 26,951 "," 499,695 ",5.39
Kootenai Electric Coop Inc,WA,Cooperative, 42 , 58 , 956 ,6.07
Lakeview Light & Power,WA,Cooperative," 7,401 "," 5,826 "," 112,400 ",5.18
Modern Electric Water Company,WA,Cooperative," 7,781 "," 4,199 "," 89,000 ",4.72
"Nespelem Valley Elec Coop, Inc",WA,Cooperative," 1,506 "," 1,265 "," 17,711 ",7.14
"Northern Lights, Inc",WA,Cooperative, 21 , 14 , 138 ,10.14
"Ohop Mutual Light Company, Inc",WA,Cooperative," 3,672 "," 3,313 "," 63,193 ",5.24
"Okanogan County Elec Coop, Inc",WA,Cooperative," 2,672 "," 2,283 "," 34,878 ",6.55
Orcas Power & Light Coop,WA,Cooperative," 10,528 "," 10,033 "," 123,829 ",8.10
PacifiCorp,WA,Investor Owned," 98,080 "," 72,371 "," 1,564,070 ",4.63
Parkland Light & Water Company,WA,Cooperative," 3,713 "," 2,154 "," 50,873 ",4.23
Peninsula Light Company,WA,Cooperative," 24,815 "," 28,229 "," 370,521 ",7.62
Port Angeles City of,WA,Publicly Owned," 8,677 "," 7,072 "," 129,214 ",5.47
PUD No 1 of Benton County,WA,Publicly Owned," 35,576 "," 46,335 "," 604,618 ",7.66
PUD No 1 of Chelan County,WA,Publicly Owned," 30,978 "," 18,162 "," 610,392 ",2.98
PUD No 1 of Clallam County,WA,Publicly Owned," 23,942 "," 26,195 "," 379,610 ",6.90
PUD No 1 of Clark County,WA,Publicly Owned," 152,324 "," 166,659 "," 2,139,260 ",7.79
PUD No 1 of Cowlitz County,WA,Publicly Owned," 40,406 "," 34,935 "," 684,110 ",5.11
PUD No 1 of Douglas County,WA,Publicly Owned," 14,157 "," 7,366 "," 319,857 ",2.30
PUD No 1 of Ferry County,WA,Publicly Owned," 2,634 "," 2,366 "," 30,672 ",7.71
PUD No 1 of Franklin County,WA,Publicly Owned," 16,259 "," 19,321 "," 242,882 ",7.95
PUD No 1 of Grays Harbor Cnty,WA,Publicly Owned," 30,470 "," 36,076 "," 457,132 ",7.89
PUD No 1 of Kittitas County,WA,Publicly Owned," 2,999 "," 3,061 "," 40,853 ",7.49
PUD No 1 of Klickitat County,WA,Publicly Owned," 8,876 "," 8,802 "," 116,579 ",7.55
PUD No 1 of Lewis County,WA,Publicly Owned," 23,332 "," 20,009 "," 380,946 ",5.25
PUD No 1 of Macon County,WA,Publicly Owned," 4,312 "," 3,596 "," 46,560 ",7.72
PUD No 1 of Okanogan County,WA,Publicly Owned," 15,455 "," 13,001 "," 252,535 ",5.15
PUD No 1 of Pend Oreille Cnty,WA,Publicly Owned," 7,066 "," 4,865 "," 122,838 ",3.96
PUD No 1 of Skamania County,WA,Publicly Owned," 4,614 "," 4,520 "," 65,310 ",6.92
PUD No 1 of Snohomish County,WA,Publicly Owned," 262,621 "," 240,422 "," 3,073,454 ",7.82
PUD No 1 Wahkiakum County,WA,Publicly Owned," 1,857 "," 1,781 "," 24,564 ",7.25
PUD No 2 of Grant County,WA,Publicly Owned," 30,618 "," 26,679 "," 631,001 ",4.23
PUD No 2 of Pacific County,WA,Publicly Owned," 13,976 "," 11,200 "," 157,482 ",7.11
PUD No 3 of Mason County,WA,Publicly Owned," 27,177 "," 22,433 "," 350,012 ",6.41
Puget Sound Energy Inc,WA,Investor Owned," 854,088 "," 609,369 "," 9,873,840 ",6.17
Seattle City of,WA,Publicly Owned," 330,979 "," 199,072 "," 2,942,881 ",6.76
Tacoma City of,WA,Publicly Owned," 139,166 "," 100,360 "," 1,634,681 ",6.14
Tanner Electric Coop,WA,Cooperative," 3,846 "," 3,538 "," 48,217 ",7.34
Town of Eatonville,WA,Publicly Owned," 1,550 ", 668 ," 12,159 ",5.49
Town of Ruston,WA,Publicly Owned, 409 , 330 ," 5,063 ",6.52
Town of Steilacoom,WA,Publicly Owned," 2,762 "," 2,197 "," 29,582 ",7.43
Vera Irrigation District #15,WA,Publicly Owned," 7,955 "," 6,790 "," 120,058 ",5.66
Appalachian Power Co,WV,Investor Owned," 368,245 "," 288,113 "," 5,321,721 ",5.41
Black Diamond Power Company,WV,Investor Owned," 1,486 ", 944 ," 15,982 ",5.91
Craig-Botetourt Electric Coop,WV,Cooperative, 411 , 244 ," 2,450 ",9.96
Elk Power Co,WV,Investor Owned," 1,133 ", 698 ," 10,730 ",6.51
Elkhorn Public Service Co,WV,Investor Owned, 135 , 115 ," 1,946 ",5.91
"Harrison Rural Elec Assn, Inc",WV,Cooperative," 5,450 "," 4,584 "," 49,520 ",9.26
Kimball Light & Water Co,WV,Investor Owned, 240 , 185 ," 3,397 ",5.45
Monongahela Power Co,WV,Investor Owned," 317,372 "," 226,312 "," 3,131,350 ",7.23
New Martinsville City of,WV,Publicly Owned," 1,431 ", 807 ," 12,705 ",6.35
Philippi Municipal Electric,WV,Publicly Owned," 1,370 ", 922 ," 13,129 ",7.02
Potomac Edison Co,WV,Investor Owned," 98,269 "," 100,514 "," 1,440,177 ",6.98
Shenandoah Valley Elec Coop,WV,Cooperative," 1,674 "," 2,045 "," 26,440 ",7.73
Union Power Co,WV,Investor Owned," 1,066 ", 636 ," 10,966 ",5.80
United Light & Power Co,WV,Investor Owned, 821 , 692 ," 11,283 ",6.13
War Light & Power Co,WV,Investor Owned, 737 , 520 ," 8,051 ",6.46
Wheeling Power Co,WV,Investor Owned," 35,745 "," 26,184 "," 413,557 ",6.33
Adams-Columbia Electric Coop,WI,Cooperative," 31,685 "," 23,939 "," 266,201 ",8.99
Algoma Utility Comm,WI,Publicly Owned," 1,632 ", 828 ," 11,585 ",7.15
Arcadia City of,WI,Publicly Owned," 1,110 ", 605 ," 9,050 ",6.69
Bangor City of,WI,Publicly Owned," 1,238 ", 799 ," 10,777 ",7.41
Barron Electric Coop,WI,Cooperative," 15,919 "," 15,555 "," 182,207 ",8.54
"Bayfield Electric Coop, Inc",WI,Cooperative," 7,830 "," 6,364 "," 63,312 ",10.05
Bloomer Electric & Water Co,WI,Publicly Owned," 1,593 ", 945 ," 16,183 ",5.84
Brodhead Water & Lighting Comm,WI,Publicly Owned," 1,467 ", 945 ," 13,198 ",7.16
Cedarburg Light & Water Comm,WI,Publicly Owned," 4,992 "," 3,091 "," 42,523 ",7.27
Central Wisconsin Elec Coop,WI,Cooperative," 7,265 "," 5,997 "," 71,362 ",8.40
Chippewa Valley Electric Coop,WI,Cooperative," 6,346 "," 6,975 "," 83,056 ",8.40
City of Argyle,WI,Publicly Owned, 388 , 225 ," 4,087 ",5.51
City of Barron,WI,Publicly Owned," 1,432 ", 897 ," 13,629 ",6.58
City of Black River Falls,WI,Publicly Owned," 2,152 "," 1,193 "," 20,823 ",5.73
City of Boscobel,WI,Publicly Owned," 1,452 ", 779 ," 11,835 ",6.58
City of Clintonville,WI,Publicly Owned," 2,321 "," 1,161 "," 18,403 ",6.31
City of Columbus,WI,Publicly Owned," 2,073 "," 1,303 "," 16,969 ",7.68
City of Cornell,WI,Publicly Owned, 690 , 370 ," 6,188 ",5.98
City of Cuba City,WI,Publicly Owned, 912 , 541 ," 7,461 ",7.25
City of Eagle River,WI,Publicly Owned, 800 , 382 ," 5,117 ",7.47
City of Elkhorn,WI,Publicly Owned," 3,381 "," 1,619 "," 25,492 ",6.35
City of Elroy,WI,Publicly Owned, 768 , 376 ," 5,938 ",6.33
City of Evansville,WI,Publicly Owned," 3,388 "," 1,564 "," 23,802 ",6.57
City of Fennimore,WI,Publicly Owned," 1,111 ", 622 ," 9,796 ",6.35
City of Kaukauna,WI,Publicly Owned," 11,442 "," 6,357 "," 121,344 ",5.24
City of Kiel,WI,Publicly Owned," 1,956 "," 1,132 "," 18,081 ",6.26
City of Lodi,WI,Publicly Owned," 1,320 ", 794 ," 10,736 ",7.40
City of Marshfield,WI,Publicly Owned," 10,592 "," 5,100 "," 98,102 ",5.20
City of Medford,WI,Publicly Owned," 2,535 "," 1,373 "," 23,506 ",5.84
City of Menasha,WI,Publicly Owned," 6,951 "," 3,675 "," 51,560 ",7.13
City of Muscoda,WI,Publicly Owned, 920 , 525 ," 6,939 ",7.57
City of New Holstein,WI,Publicly Owned," 1,938 "," 1,213 "," 19,393 ",6.25
City of New Lisbon,WI,Publicly Owned, 656 , 362 ," 5,164 ",7.01
City of New Richmond,WI,Publicly Owned," 3,204 "," 1,867 "," 28,027 ",6.66
City of Plymouth,WI,Publicly Owned," 6,618 "," 4,355 "," 63,109 ",6.90
City of Princeton,WI,Publicly Owned, 803 , 346 ," 5,000 ",6.92
City of Richland Center,WI,Publicly Owned," 2,415 "," 1,165 "," 17,356 ",6.71
City of River Falls,WI,Publicly Owned," 4,550 "," 3,107 "," 40,436 ",7.68
City of Sheboygan Falls,WI,Publicly Owned," 3,201 "," 1,355 "," 25,837 ",5.24
City of Shullsburg,WI,Publicly Owned, 612 , 334 ," 5,063 ",6.60
City of Westby,WI,Publicly Owned, 916 , 570 ," 7,983 ",7.14
Clark Electric Coop,WI,Cooperative," 8,333 "," 10,353 "," 126,603 ",8.18
Consolidated Water Power Co,WI,Investor Owned, 991 , 519 ," 8,200 ",6.33
Cumberland City of,WI,Publicly Owned," 1,135 ", 631 ," 8,594 ",7.34
Dahlberg Light & Power Co,WI,Investor Owned," 9,322 "," 5,508 "," 59,283 ",9.29
Dunn County Electric Coop,WI,Cooperative," 8,092 "," 10,060 "," 114,805 ",8.76
East Central Energy,WI,Cooperative," 4,318 "," 3,302 "," 38,708 ",8.53
Eau Claire Electric Coop,WI,Cooperative," 9,382 "," 11,059 "," 125,035 ",8.84
Florence Utility Comm,WI,Publicly Owned, 897 , 451 ," 5,795 ",7.78
Hartford Electric,WI,Publicly Owned," 4,744 "," 2,880 "," 37,130 ",7.76
Hustisford Utilities,WI,Publicly Owned," 1,259 ", 908 ," 11,610 ",7.82
"Jackson Electric Coop, Inc",WI,Cooperative," 6,433 "," 6,851 "," 77,215 ",8.87
Jefferson Utilities,WI,Publicly Owned," 3,264 "," 1,888 "," 29,307 ",6.44
Jump River Electric Coop Inc,WI,Cooperative," 7,878 "," 6,851 "," 70,591 ",9.71
Juneau Utility Comm,WI,Publicly Owned, 899 , 492 ," 7,293 ",6.75
La Farge Municipal Electric Co,WI,Publicly Owned, 431 , 199 ," 3,000 ",6.63
Lake Mills Light & Water,WI,Publicly Owned," 3,008 "," 1,753 "," 24,074 ",7.28
Madison Gas & Electric Co,WI,Investor Owned," 114,590 "," 85,164 "," 800,535 ",10.64
Manitowoc Public Utilities,WI,Publicly Owned," 15,404 "," 8,069 "," 101,813 ",7.93
Merrillan Village of,WI,Publicly Owned, 366 , 142 ," 2,516 ",5.64
Mt Horeb Village of,WI,Publicly Owned," 2,749 "," 1,620 "," 24,026 ",6.74
New London Electric&Water Util,WI,Publicly Owned," 3,207 "," 1,977 "," 26,297 ",7.52
"North Central Power Co, Inc",WI,Investor Owned," 3,957 "," 2,384 "," 21,922 ",10.87
Northern States Power Co,WI,Investor Owned," 190,632 "," 137,586 "," 1,828,670 ",7.52
Northwestern Wisconsin Elec Co,WI,Investor Owned," 10,846 "," 7,730 "," 77,537 ",9.97
Oakdale Electric Coop,WI,Cooperative," 13,467 "," 12,027 "," 133,246 ",9.03
Oconomowoc Utilities,WI,Publicly Owned," 6,804 "," 4,133 "," 62,109 ",6.65
Oconto Electric Cooperative,WI,Cooperative," 8,669 "," 6,961 "," 88,147 ",7.90
Oconto Falls Water & Light Comm,WI,Publicly Owned," 1,298 ", 776 ," 9,971 ",7.78
Pierce-Pepin Coop Services,WI,Cooperative," 6,461 "," 10,426 "," 102,394 ",10.18
Pioneer Power & Light Co,WI,Investor Owned," 1,876 ", 949 ," 11,950 ",7.94
Polk-Burnett Electric Coop,WI,Cooperative," 17,316 "," 16,918 "," 167,190 ",10.12
Price Electric Coop Inc,WI,Cooperative," 8,285 "," 5,777 "," 57,956 ",9.97
Reedsburg Utility Comm,WI,Publicly Owned," 3,879 "," 2,407 "," 35,235 ",6.83
Rice Lake Utilities,WI,Publicly Owned," 4,207 "," 2,465 "," 40,404 ",6.10
Richland Electric Coop,WI,Cooperative," 3,384 "," 3,773 "," 39,426 ",9.57
Riverland Energy Cooperative,WI,Cooperative," 14,011 "," 18,094 "," 190,465 ",9.50
Rock County Electric Coop Assn,WI,Cooperative," 5,486 "," 5,342 "," 64,233 ",8.32
Scenic Rivers Energy Coop,WI,Cooperative," 11,703 "," 15,598 "," 187,042 ",8.34
Shawano Municipal Utilities,WI,Publicly Owned," 3,937 "," 2,176 "," 32,472 ",6.70
Slinger Utilities,WI,Publicly Owned," 1,409 ", 936 ," 12,160 ",7.70
Spooner City of,WI,Publicly Owned," 1,241 ", 584 ," 9,699 ",6.02
St Croix Electric Coop,WI,Cooperative," 8,100 "," 10,435 "," 126,800 ",8.23
Stoughton City of,WI,Publicly Owned," 7,271 "," 4,518 "," 64,559 ",7.00
Sturgeon Bay City of,WI,Publicly Owned," 6,562 "," 3,715 "," 53,313 ",6.97
Sun Prairie Water & Light Comm,WI,Publicly Owned," 9,476 "," 5,385 "," 82,383 ",6.54
"Superior Water, Light and Power Company",WI,Investor Owned," 12,447 "," 5,655 "," 86,688 ",6.52
Taylor Electric Coop,WI,Cooperative," 3,851 "," 4,858 "," 56,237 ",8.64
Two Rivers Water & Light,WI,Publicly Owned," 5,553 "," 2,470 "," 35,810 ",6.90
Vernon Electric Coop,WI,Cooperative," 9,619 "," 10,980 "," 120,508 ",9.11
Village of Belmont,WI,Publicly Owned, 465 , 208 ," 3,710 ",5.61
Village of Benton,WI,Publicly Owned, 426 , 217 ," 3,426 ",6.33
Village of Black Earth,WI,Publicly Owned, 961 , 664 ," 8,464 ",7.84
Village of Cadott,WI,Publicly Owned, 604 , 365 ," 5,572 ",6.55
Village of Cashton,WI,Publicly Owned, 446 , 261 ," 4,040 ",6.46
Village of Centuria,WI,Publicly Owned, 376 , 254 ," 3,322 ",7.65
Village of Gresham,WI,Publicly Owned, 911 , 664 ," 7,576 ",8.76
Village of Hazel Green,WI,Publicly Owned, 504 , 267 ," 4,303 ",6.20
Village of Mazomanie,WI,Publicly Owned, 678 , 408 ," 5,616 ",7.26
Village of New Glarus,WI,Publicly Owned, 971 , 609 ," 8,122 ",7.50
Village of Pardeeville,WI,Publicly Owned," 1,033 ", 544 ," 9,020 ",6.03
Village of Prairie Du Sac,WI,Publicly Owned," 1,464 ", 876 ," 12,495 ",7.01
Village of Sauk City,WI,Publicly Owned," 1,430 ", 837 ," 11,734 ",7.13
Village of Stratford,WI,Publicly Owned, 664 , 399 ," 6,000 ",6.65
Village of Trempealeau,WI,Publicly Owned, 928 , 495 ," 7,695 ",6.43
Village of Viola,WI,Publicly Owned, 338 , 156 ," 2,579 ",6.05
Village of Waunakee,WI,Publicly Owned," 3,707 "," 2,358 "," 33,800 ",6.98
"Washington Island El Coop, Inc",WI,Cooperative, 900 , 658 ," 6,748 ",9.75
Waterloo Light & Water Comm,WI,Publicly Owned," 1,477 ", 871 ," 13,362 ",6.52
Waupun Utilities,WI,Publicly Owned," 3,609 "," 2,003 "," 30,262 ",6.62
Westfield Electric Co,WI,Investor Owned, 565 , 296 ," 4,182 ",7.08
Whitehall Electric Utility,WI,Publicly Owned, 739 , 451 ," 6,738 ",6.69
Wisconsin Dells Electric Util,WI,Publicly Owned," 1,245 ", 679 ," 12,000 ",5.66
Wisconsin Electric Power Co,WI,Investor Owned," 930,873 "," 687,627 "," 7,761,420 ",8.86
Wisconsin Power & Light Co,WI,Investor Owned," 371,183 "," 311,318 "," 3,338,576 ",9.32
Wisconsin Public Service Corp,WI,Investor Owned," 357,397 "," 257,228 "," 2,969,607 ",8.66
Wisconsin Rapids W W & L Comm,WI,Publicly Owned," 10,711 "," 5,907 "," 92,717 ",6.37
Wonewoc Electric & Water Util,WI,Publicly Owned, 481 , 231 ," 3,471 ",6.66
"Big Horn County Elec Coop, Inc",WY,Cooperative, 238 , 252 ," 3,346 ",7.53
Big Horn Rural Electric Co,WY,Cooperative," 2,755 "," 2,018 "," 23,886 ",8.45
Black Hills Power Inc,WY,Investor Owned," 1,903 "," 1,374 "," 17,800 ",7.72
"Bridger Valley Elec Assn, Inc",WY,Cooperative," 3,222 "," 2,592 "," 30,724 ",8.44
"Carbon Power & Light, Inc",WY,Cooperative," 4,578 "," 3,923 "," 40,250 ",9.75
Cheyenne Light Fuel & Power Co,WY,Investor Owned," 31,776 "," 21,725 "," 221,144 ",9.82
City of Cody,WY,Publicly Owned," 5,484 "," 2,096 "," 29,496 ",7.11
City of Deaver,WY,Publicly Owned, 73 , 56 , 828 ,6.76
City of Pine Bluffs,WY,Publicly Owned, 635 , 312 ," 4,367 ",7.14
City of Powell,WY,Publicly Owned," 2,349 ", 999 ," 14,718 ",6.79
City of Torrington,WY,Publicly Owned," 3,650 "," 1,565 "," 27,167 ",5.76
Fall River Rural Elec Coop Inc,WY,Cooperative, 216 , 293 ," 3,751 ",7.81
Garland Light & Power Company,WY,Cooperative," 1,569 "," 1,416 "," 17,277 ",8.20
Gillette City of,WY,Publicly Owned," 8,330 "," 5,689 "," 86,451 ",6.58
"High Plains Power, Inc",WY,Cooperative," 10,176 "," 9,307 "," 118,837 ",7.83
"High West Energy, Inc",WY,Cooperative," 3,448 "," 3,024 "," 38,823 ",7.79
Lower Valley Energy Inc,WY,Cooperative," 15,518 "," 16,013 "," 293,128 ",5.46
MDU Resources Group Inc,WY,Investor Owned," 11,494 "," 9,064 "," 117,635 ",7.71
Midvale Irrigation District,WY,Publicly Owned, 7 , 2 , 86 ,2.33
"Niobrara Electric Assn, Inc",WY,Cooperative, 744 , 722 ," 7,435 ",9.71
NorthWestern Energy LLC,WY,Investor Owned, 168 , 122 ," 1,532 ",7.96
PacifiCorp,WY,Investor Owned," 99,188 "," 62,109 "," 940,823 ",6.60
Powder River Energy Corp,WY,Cooperative," 14,936 "," 9,341 "," 160,896 ",5.81
Town of Basin,WY,Publicly Owned, 542 , 337 ," 5,111 ",6.59
Town of Fort Laramie,WY,Publicly Owned, 175 , 85 ," 1,149 ",7.40
Town of Guernsey,WY,Publicly Owned, 554 , 260 ," 3,675 ",7.07
Town of Lingle,WY,Publicly Owned, 207 , 154 ," 1,801 ",8.55
Town of Lusk,WY,Publicly Owned, 955 , 348 ," 5,903 ",5.90
Town of Wheatland,WY,Publicly Owned," 1,715 ", 702 ," 13,793 ",5.09
"Wheatland Rural Elec Assn, Inc",WY,Cooperative," 2,125 "," 2,325 "," 23,450 ",9.91
Willwood Light & Power Company,WY,Cooperative, 46 , 61 , 980 ,6.22
Wyrulec Company,WY,Cooperative," 2,904 "," 2,357 "," 25,703 ",9.17
Yampa Valley Electric Assn Inc,WY,Cooperative, 519 , 303 ," 4,236 ",7.15
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
